,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Income,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,7664.0,13094.0,13094.0,-5430.0,-5430.0,-5405.0,-3647.0,-2519.0,-1128.0,-953.0,-805.0,-805.0,2259.0,-59.0,,,,,,,-132.0,-132.0,73.0,2200.0,-405.0,1795.0,1795.0,1795.0,1795.0,1795.0,,,13094.0,-10967.0,2127.0,0.184,2318.0,2755.0,0.149,0.149,0.147,0.147,12030.0,12210.0,0.0,1.49,1.47,1203.0,1221.0
2018,8596.0,15451.0,15451.0,-6855.0,-6855.0,-6093.0,-4246.0,-2933.0,-1313.0,-1071.0,-776.0,-776.0,2503.0,-127.0,91.0,91.0,-77.0,168.0,,,-309.0,-309.0,91.0,2376.0,-319.0,2057.0,2057.0,2057.0,2057.0,2057.0,,,15451.0,-13257.0,2194.0,0.134,2913.0,3349.0,0.174,0.174,0.171,0.171,11840.0,12030.0,0.0,1.74,1.71,1184.0,1203.0
2019,9602.0,17772.0,17772.0,-8170.0,-8170.0,-6812.0,-4727.0,-3326.0,-1401.0,-2085.0,,,2790.0,208.0,82.0,82.0,-115.0,197.0,208.0,208.0,-71.0,-71.0,-11.0,2998.0,-539.0,2459.0,2459.0,2459.0,2459.0,2459.0,,,17772.0,-15053.0,2719.0,0.18,3684.0,4131.0,0.209,0.209,0.207,0.207,11740.0,11880.0,0.0,2.09,2.07,1174.0,1188.0
2020,11779.0,21454.0,21454.0,-9675.0,-9675.0,-8351.0,-5709.0,-3848.0,-1861.0,-2642.0,,,3428.0,1637.0,-121.0,-121.0,-209.0,88.0,1914.0,1914.0,-139.0,-139.0,-17.0,5065.0,-863.0,4202.0,4202.0,4202.0,4202.0,4202.0,,,21454.0,-18165.0,3289.0,0.17,,,3.58,3.58,3.54,3.54,1173.0,1187.0,,3.58,3.54,1173.0,1187.0
2021,13996.0,25371.0,25371.0,-11375.0,-11375.0,-9672.0,-6634.0,-4189.0,-2445.0,-3038.0,,,4324.0,-225.0,-175.0,-175.0,-232.0,57.0,46.0,46.0,-62.0,-62.0,-34.0,4099.0,70.0,4169.0,4169.0,4169.0,4169.0,4169.0,,,25371.0,-21109.0,4262.0,-0.017,,,3.55,3.55,3.52,3.52,1174.0,1186.0,,3.55,3.52,1174.0,1186.0
TTM,13577.0,26389.0,26389.0,-12812.0,-12812.0,-9880.0,-6699.0,-4295.0,-2404.0,-3181.0,,,3697.0,-1148.0,-174.0,-174.0,-245.0,71.0,-775.0,-775.0,-129.0,-129.0,-70.0,2549.0,-493.0,2056.0,2056.0,2056.0,2056.0,2056.0,,,26389.0,-22821.0,3568.0,,,,1.75,1.75,1.74,1.74,1167.5,1175.0,,1.75,1.74,1167.5,1175.0
