,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment",Changes in Operating Capital,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Sale of Business,Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Dividends Received/Paid, CFI",Purchase/Sale of Equity Investments,Purchase of Joint Venture/Associate,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,"Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid,"Interest Paid, CFF",Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,14911.0,14911.0,18081.0,10310.0,6582.0,6582.0,6582.0,,1189.0,-3170.0,-8061.0,-8061.0,-8370.0,-8370.0,0.0,0.0,,0.0,303.0,-319.0,622.0,6.0,0.0,0.0,-7266.0,-7266.0,,,,46.0,46.0,2591.0,-2545.0,,,-6382.0,-5598.0,-784.0,-921.0,-9.0,2010.0,-416.0,-13.0,2438.0,,-428.0
2018,14520.0,14520.0,17487.0,11052.0,7318.0,7318.0,7318.0,7318.0,-883.0,-2967.0,-8369.0,-8370.0,-8044.0,-8075.0,31.0,-469.0,,-469.0,141.0,-194.0,335.0,2.0,0.0,0.0,-6501.0,-6501.0,0.0,,0.0,598.0,598.0,3280.0,-2682.0,,,-6307.0,-5732.0,-575.0,-798.0,6.0,1700.0,-350.0,40.0,2010.0,,-310.0
2019,15281.0,15281.0,19372.0,8231.0,10721.0,10721.0,10721.0,,419.0,-4091.0,-8819.0,-8819.0,-7943.0,-7949.0,6.0,-1096.0,,-1096.0,214.0,-73.0,287.0,6.0,,,-6744.0,-6745.0,,,,582.0,582.0,5130.0,-4548.0,,,-6476.0,-6003.0,-473.0,-838.0,-13.0,1483.0,-282.0,65.0,1700.0,,-217.0
2020,11088.0,11088.0,14877.0,12018.0,2719.0,2719.0,2719.0,,139.0,-3789.0,-4219.0,-4218.0,-4127.0,-4141.0,14.0,0.0,,0.0,-105.0,-249.0,144.0,14.0,0.0,0.0,-5600.0,-5599.0,,,,787.0,787.0,3474.0,-2687.0,,,-5496.0,-4870.0,-626.0,-855.0,-35.0,2690.0,1269.0,-62.0,1483.0,,1207.0
2021,13554.0,13554.0,17213.0,11573.0,7487.0,7487.0,7487.0,7487.0,-1847.0,-3659.0,-5303.0,-5302.0,-5275.0,-5289.0,14.0,5.0,5.0,,-38.0,-41.0,3.0,6.0,,,-8869.0,-8869.0,0.0,0.0,,-3915.0,-3915.0,2230.0,-6145.0,,,-4220.0,-3525.0,-695.0,-687.0,-47.0,2024.0,-618.0,-47.0,2690.0,,-666.0
TTM,13626.0,13626.0,17298.0,9303.0,9669.0,9669.0,9669.0,,-1673.0,-3672.0,-5483.0,-5483.0,-5504.0,-5515.0,11.0,,,,20.0,-17.0,37.0,-4.0,,,-8271.0,-8271.0,,,,-3603.0,-3603.0,2542.0,,,,-4224.0,-3525.0,-699.0,-1123.0,679.0,2288.0,-128.0,-58.0,2475.0,,-187.0
